,Algorithm,Sus_or_evil,Sorted_train,Enriched_parent_process_name,Time,ROCAUC
0,HSTree,evil,no,no,215.254±9.094,0.216±0.412
1,HSTree,evil,no,yes,212.872±15.805,0.052±0.007
2,HSTree,evil,yes,no,209.177±7.672,0.215±0.422
3,HSTree,evil,yes,yes,216.206±6.950,0.042±0.012
4,HSTree,sus,no,no,215.254±9.094,0.235±0.390
5,HSTree,sus,no,yes,212.872±15.805,0.081±0.005
6,HSTree,sus,yes,no,209.177±7.672,0.222±0.391
7,HSTree,sus,yes,yes,216.206±6.950,0.083±0.014
8,IForestASD,evil,no,no,1865.587±11.517,0.710±0.013
9,IForestASD,evil,no,yes,1872.442±12.069,0.676±0.009
10,IForestASD,evil,yes,no,1860.352±10.495,0.710±0.014
11,IForestASD,evil,yes,yes,1870.231±12.328,0.719±0.015
12,IForestASD,sus,no,no,1865.587±11.517,0.671±0.016
13,IForestASD,sus,no,yes,1872.442±12.069,0.678±0.006
14,IForestASD,sus,yes,no,1860.352±10.495,0.679±0.016
15,IForestASD,sus,yes,yes,1870.231±12.328,0.706±0.019
16,ILOF,evil,no,no,374.580±2.544,0.880±0.000
17,ILOF,evil,no,yes,384.471±3.058,0.978±0.000
18,ILOF,evil,yes,no,242.972±1.499,0.712±0.000
19,ILOF,evil,yes,yes,384.452±3.849,0.883±0.000
20,ILOF,sus,no,no,374.580±2.544,0.832±0.000
21,ILOF,sus,no,yes,384.471±3.058,0.950±0.000
22,ILOF,sus,yes,no,242.972±1.499,0.662±0.000
23,ILOF,sus,yes,yes,384.452±3.849,0.771±0.000
24,KitNet,evil,no,no,176.138±0.503,0.933±0.000
25,KitNet,evil,no,yes,274.922±2.356,0.933±0.000
26,KitNet,evil,yes,no,172.029±0.928,0.994±0.000
27,KitNet,evil,yes,yes,224.652±1.549,0.982±0.000
28,KitNet,sus,no,no,176.138±0.503,0.990±0.000
29,KitNet,sus,no,yes,274.922±2.356,0.983±0.000
30,KitNet,sus,yes,no,172.029±0.928,0.976±0.000
31,KitNet,sus,yes,yes,224.652±1.549,0.953±0.000
32,LODA,evil,no,no,816.395±5.402,0.097±0.000
33,LODA,evil,no,yes,821.759±5.795,0.149±0.001
34,LODA,evil,yes,no,817.694±5.824,0.097±0.000
35,LODA,evil,yes,yes,818.895±5.378,0.140±0.001
36,LODA,sus,no,no,816.395±5.402,0.138±0.001
37,LODA,sus,no,yes,821.759±5.795,0.188±0.001
38,LODA,sus,yes,no,817.694±5.824,0.138±0.001
39,LODA,sus,yes,yes,818.895±5.378,0.170±0.001
40,OCSVM,evil,no,no,53.823±0.665,0.659±0.000
41,OCSVM,evil,no,yes,52.928±0.695,0.676±0.000
42,OCSVM,evil,yes,no,55.409±0.486,0.711±0.000
43,OCSVM,evil,yes,yes,50.643±0.377,0.572±0.000
44,OCSVM,sus,no,no,53.823±0.665,0.743±0.000
45,OCSVM,sus,no,yes,52.928±0.695,0.766±0.000
46,OCSVM,sus,yes,no,55.409±0.486,0.765±0.000
47,OCSVM,sus,yes,yes,50.643±0.377,0.731±0.000
48,RRCF,evil,no,no,1742.404±75.728,0.047±0.001
49,RRCF,evil,no,yes,1573.353±11.010,0.044±0.000
50,RRCF,evil,yes,no,1452.139±51.779,0.047±0.002
51,RRCF,evil,yes,yes,1408.911±9.375,0.045±0.001
52,RRCF,sus,no,no,1742.404±75.728,0.093±0.001
53,RRCF,sus,no,yes,1573.353±11.010,0.092±0.001
54,RRCF,sus,yes,no,1452.139±51.779,0.094±0.002
55,RRCF,sus,yes,yes,1408.911±9.375,0.091±0.001
56,RShash,evil,no,no,415.451±4.079,0.967±0.001
57,RShash,evil,no,yes,437.649±0.792,0.955±0.000
58,RShash,evil,yes,no,417.394±3.099,0.966±0.001
59,RShash,evil,yes,yes,438.476±1.142,0.955±0.001
60,RShash,sus,no,no,415.451±4.079,0.938±0.002
61,RShash,sus,no,yes,437.649±0.792,0.927±0.001
62,RShash,sus,yes,no,417.394±3.099,0.937±0.003
63,RShash,sus,yes,yes,438.476±1.142,0.927±0.002
64,Storm,evil,no,no,3349.882±102.540,0.932±0.000
65,Storm,evil,no,yes,3313.516±83.078,0.931±0.000
66,Storm,evil,yes,no,3362.405±184.883,0.932±0.000
67,Storm,evil,yes,yes,3297.809±78.910,0.931±0.000
68,Storm,sus,no,no,3349.882±102.540,0.914±0.000
69,Storm,sus,no,yes,3313.516±83.078,0.913±0.000
70,Storm,sus,yes,no,3362.405±184.883,0.914±0.000
71,Storm,sus,yes,yes,3297.809±78.910,0.913±0.000
72,xStream,evil,no,no,680.401±3.902,0.917±0.009
73,xStream,evil,no,yes,701.267±2.618,0.918±0.003
74,xStream,evil,yes,no,681.296±3.363,0.916±0.010
75,xStream,evil,yes,yes,702.592±2.585,0.917±0.003
76,xStream,sus,no,no,680.401±3.902,0.882±0.011
77,xStream,sus,no,yes,701.267±2.618,0.881±0.007
78,xStream,sus,yes,no,681.296±3.363,0.880±0.012
79,xStream,sus,yes,yes,702.592±2.585,0.881±0.007
